date	title	hostname	category	djia_close	sp_close
2014-03-10	fed official says weak data caused by weather, should not slow taper	www.latimes.com	b	16418.679688	1877.170044
2014-03-10	fed's charles plosser sees high bar for change in pace of tapering	www.livemint.com	b	16418.679688	1877.170044
2014-03-10	us open: stocks fall after fed official hints at accelerated tapering	www.ifamagazine.com	b	16418.679688	1877.170044
2014-03-10	fed risks falling 'behind the curve', charles plosser says	www.ifamagazine.com	b	16418.679688	1877.170044
2014-03-10	fed's plosser: nasty weather has curbed job growth	www.moneynews.com	b	16418.679688	1877.170044
2014-03-10	plosser: fed may have to accelerate tapering pace	www.nasdaq.com	b	16418.679688	1877.170044
2014-03-10	fed's plosser: taper pace may be too slow	www.marketwatch.com	b	16418.679688	1877.170044
2014-03-10	fed's plosser expects us unemployment to fall to 6.2 by the end of 2014	www.fxstreet.com	b	16418.679688	1877.170044
2014-03-10	us jobs growth last month hit by weather:fed president charles plosser	economictimes.indiatimes.com	b	16418.679688	1877.170044
2014-03-10	ecb unlikely to end sterilisation of smp purchases - traders	www.iii.co.uk	b	16418.679688	1877.170044
2014-03-10	ecb unlikely to end sterilization of smp purchases: traders	in.reuters.com	b	16418.679688	1877.170044
2014-03-10	eu's half-baked bank union could work	blogs.reuters.com	b	16418.679688	1877.170044
2014-03-10	europe reaches crunch point on banking union	in.reuters.com	b	16418.679688	1877.170044
2014-03-10	ecb focus-stronger euro drowns out ecb's message to keep rates low for  	in.reuters.com	b	16418.679688	1877.170044
2014-03-10	eu aims for deal on tackling failing banks	main.omanobserver.om	b	16418.679688	1877.170044
2014-03-10	forex - pound drops to one-month lows against euro	www.nasdaq.com	b	16418.679688	1877.170044
2014-03-10	noyer says strong euro creates unwarranted economic pressure	www.sfgate.com	b	16418.679688	1877.170044
2014-03-10	eu week ahead march 10-14: bank resolution, transparency, ukraine	blogs.wsj.com	b	16418.679688	1877.170044
2014-03-10	ecb member noyer is 'very open to all kinds of tools'	www.ifamagazine.com	b	16418.679688	1877.170044
2014-03-10	euro anxieties wane as bunds top treasuries, spain debt rallies	www.businessweek.com	b	16418.679688	1877.170044
2014-03-10	noyer says strong euro creates unwarranted economic pressure 1	www.businessweek.com	b	16418.679688	1877.170044
2014-03-10	noyer says stronger euro creates unwarranted pressure on economy	www.sfgate.com	b	16418.679688	1877.170044
2014-03-10	bad loan triggers key feature in ecb bank test announcement: sources	www.globalpost.com	b	16418.679688	1877.170044
2014-03-10	china's trade deficit and structural worries in europe, among the main issues	www.fxstreet.com	b	16418.679688	1877.170044
2014-03-10	10 things you need to know this morning	www.businessinsider.com	b	16418.679688	1877.170044
