Date,Open,High,Low,Close,Adj Close,Volume
2014-03-10,16453.099609,16453.099609,16334.200195,16418.679688,16418.679688,68210000
2014-03-11,16419.390625,16460.330078,16325.169922,16351.250000,16351.250000,78150000
2014-03-12,16350.669922,16364.740234,16260.030273,16340.080078,16340.080078,77900000
2014-03-13,16341.549805,16405.070313,16084.099609,16108.889648,16108.889648,86160000
2014-03-14,16106.320313,16165.049805,16046.990234,16065.669922,16065.669922,85660000
2014-03-17,16066.370117,16270.339844,16066.370117,16247.219727,16247.219727,88930000
2014-03-18,16245.929688,16369.940430,16245.929688,16336.190430,16336.190430,79140000
2014-03-19,16335.709961,16363.320313,16126.290039,16222.169922,16222.169922,90110000
2014-03-20,16221.980469,16353.980469,16160.330078,16331.049805,16331.049805,91530000
2014-03-21,16332.690430,16456.449219,16290.790039,16302.769531,16302.769531,353670000
2014-03-24,16303.280273,16380.509766,16215.559570,16276.690430,16276.690430,110620000
2014-03-25,16279.200195,16407.179688,16279.200195,16367.879883,16367.879883,89110000
2014-03-26,16370.709961,16466.039063,16268.990234,16268.990234,16268.990234,92770000
2014-03-27,16268.669922,16300.940430,16191.790039,16264.230469,16264.230469,93650000
2014-03-28,16267.769531,16414.859375,16267.769531,16323.059570,16323.059570,86370000
2014-03-31,16324.219727,16480.849609,16324.219727,16457.660156,16457.660156,104510000
2014-04-01,16458.050781,16565.730469,16457.599609,16532.609375,16532.609375,88010000
2014-04-02,16532.800781,16588.189453,16506.599609,16573.000000,16573.000000,78120000
2014-04-03,16572.359375,16604.150391,16527.599609,16572.550781,16572.550781,77220000
2014-04-04,16576.019531,16631.630859,16392.769531,16412.710938,16412.710938,104350000
2014-04-07,16414.150391,16421.380859,16244.009766,16245.870117,16245.870117,116540000
2014-04-08,16245.160156,16296.860352,16180.280273,16256.139648,16256.139648,98510000
2014-04-09,16256.370117,16438.820313,16256.370117,16437.179688,16437.179688,91550000
2014-04-10,16437.240234,16456.119141,16153.339844,16170.219727,16170.219727,112550000
2014-04-11,16168.870117,16168.870117,16015.320313,16026.750000,16026.750000,119550000
2014-04-14,16028.290039,16184.759766,16028.290039,16173.240234,16173.240234,90020000
2014-04-15,16173.490234,16272.950195,16063.200195,16262.559570,16262.559570,97850000
2014-04-16,16266.230469,16424.849609,16266.230469,16424.849609,16424.849609,94650000
2014-04-17,16424.140625,16460.490234,16368.139648,16408.539063,16408.539063,136190000
2014-04-21,16408.919922,16459.779297,16402.080078,16449.250000,16449.250000,79500000
2014-04-22,16449.380859,16565.710938,16449.380859,16514.369141,16514.369141,84830000
2014-04-23,16513.730469,16525.990234,16477.279297,16501.650391,16501.650391,76830000
2014-04-24,16503.390625,16541.259766,16452.300781,16501.650391,16501.650391,80340000
2014-04-25,16503.259766,16503.259766,16333.780273,16361.459961,16361.459961,90630000
2014-04-28,16363.200195,16500.369141,16312.660156,16448.740234,16448.740234,105510000
2014-04-29,16451.179688,16559.390625,16451.179688,16535.369141,16535.369141,71240000
2014-04-30,16534.859375,16592.279297,16510.869141,16580.839844,16580.839844,92970000
2014-05-01,16580.259766,16604.789063,16525.250000,16558.869141,16558.869141,75630000
2014-05-02,16562.339844,16620.060547,16488.310547,16512.890625,16512.890625,78910000
2014-05-05,16509.750000,16547.919922,16377.089844,16530.550781,16530.550781,70320000
2014-05-06,16529.849609,16529.849609,16399.990234,16401.019531,16401.019531,74340000
2014-05-07,16401.660156,16522.939453,16357.349609,16518.539063,16518.539063,93870000
2014-05-08,16518.160156,16622.949219,16502.009766,16550.970703,16550.970703,75620000
2014-05-09,16551.230469,16588.769531,16498.710938,16583.339844,16583.339844,74980000
2014-05-12,16584.820313,16704.839844,16584.820313,16695.470703,16695.470703,71550000
2014-05-13,16695.919922,16735.509766,16695.919922,16715.439453,16715.439453,71340000
2014-05-14,16716.080078,16717.560547,16595.000000,16613.970703,16613.970703,71970000
2014-05-15,16613.519531,16622.900391,16397.460938,16446.810547,16446.810547,106610000
2014-05-16,16447.320313,16498.990234,16414.320313,16491.310547,16491.310547,119330000
2014-05-19,16490.349609,16526.259766,16442.119141,16511.859375,16511.859375,82180000
2014-05-20,16511.220703,16511.220703,16341.299805,16374.309570,16374.309570,75150000
2014-05-21,16376.169922,16544.599609,16376.169922,16533.060547,16533.060547,76730000
2014-05-22,16532.740234,16565.390625,16489.609375,16543.080078,16543.080078,59250000
2014-05-23,16544.490234,16613.070313,16544.490234,16606.269531,16606.269531,61340000
2014-05-27,16607.419922,16688.689453,16607.419922,16675.500000,16675.500000,80870000
2014-05-28,16674.980469,16674.980469,16620.220703,16633.179688,16633.179688,62480000
2014-05-29,16637.740234,16698.740234,16620.429688,16698.740234,16698.740234,55500000
2014-05-30,16697.330078,16721.220703,16648.849609,16717.169922,16717.169922,105190000
2014-06-02,16716.849609,16756.640625,16682.070313,16743.630859,16743.630859,57560000
2014-06-03,16736.699219,16736.699219,16690.009766,16722.339844,16722.339844,67830000
